cohort_name,modality,device,task,model,seed,model_a,model_b,n_subjects,auroc_diff,auroc_diff_ci_low,auroc_diff_ci_high,auprc_diff,auprc_diff_ci_low,auprc_diff_ci_high,fold_direction_consistency,folds_compared,n_bootstrap
fnirs_yiruid_1back_native,fnirs,yiruid,1back,logistic_regression,20260707,signal,demographics,1422,-0.043344493993428546,-0.08144398797135925,-0.0040916608331815615,-0.01711053772089921,-0.053716847053830244,0.01944018582686236,0,5,1000
fnirs_yiruid_1back_native,fnirs,yiruid,1back,logistic_regression,20260707,signal,qc,1422,0.018391158593049295,-0.025225824755240468,0.05833406213082071,0.0032534172749467127,-0.03336715167433387,0.04335824668080574,4,5,1000
fnirs_yiruid_1back_native,fnirs,yiruid,1back,logistic_regression,20260707,signal_qc_demographics,signal,1422,0.01616249477169196,0.0011001193890268323,0.03181331591313791,0.009296098966386057,-0.0044587645708935395,0.023887762073225904,4,5,1000
fnirs_yiruid_1back_native,fnirs,yiruid,1back,random_forest,20260707,signal,demographics,1422,-0.041302072386834476,-0.07780803773265554,-0.00492271290723683,-0.022935014949914456,-0.060261784753858245,0.011048691704615256,1,5,1000
fnirs_yiruid_1back_native,fnirs,yiruid,1back,random_forest,20260707,signal,qc,1422,0.009274654203351496,-0.03375066576632498,0.049426851607771244,0.0015481971383241033,-0.034727946501164515,0.03832079526468844,3,5,1000
fnirs_yiruid_1back_native,fnirs,yiruid,1back,random_forest,20260707,signal_qc_demographics,signal,1422,0.013307474451521917,-0.006778037426773211,0.03284894363586957,0.026932041365010373,0.006662275424268194,0.04855845024400879,3,5,1000
fnirs_yiruid_rest_native,fnirs,yiruid,rest,hist_gradient_boosting,20260707,signal,demographics,1514,-0.04081679592982057,-0.0774435935934315,-0.001137106062124069,-0.00688118484954009,-0.04246550689954669,0.032444820653692336,0,5,1000
fnirs_yiruid_rest_native,fnirs,yiruid,rest,hist_gradient_boosting,20260707,signal,qc,1514,0.043586983522397926,0.0023288051792213884,0.08431324222859943,0.032584384333065874,-0.0021674697273819377,0.06903044831518494,4,5,1000
fnirs_yiruid_rest_native,fnirs,yiruid,rest,hist_gradient_boosting,20260707,signal_qc_demographics,signal,1514,0.04538930749910297,0.01553739059564882,0.07437306529073684,0.038180491578794495,0.007679581135910778,0.06866718545398649,5,5,1000
fnirs_yiruid_rest_native,fnirs,yiruid,rest,logistic_regression,20260707,signal,demographics,1514,-0.03892890986540065,-0.07729103032618392,0.0028001607234416177,-0.014562581580919054,-0.0506793980017082,0.0291726382203908,0,5,1000
fnirs_yiruid_rest_native,fnirs,yiruid,rest,logistic_regression,20260707,signal,qc,1514,0.07933445576072073,0.03887317718284064,0.11848138956303576,0.05802475424873488,0.02204075001726633,0.09307045299025062,5,5,1000
fnirs_yiruid_rest_native,fnirs,yiruid,rest,logistic_regression,20260707,signal_qc_demographics,signal,1514,0.01343784788348823,-0.0019524262453769065,0.027558270581858207,0.00805917425168734,-0.006239622488420332,0.02151514941144773,5,5,1000
fnirs_yiruid_rest_native,fnirs,yiruid,rest,random_forest,20260707,signal,demographics,1514,-0.02971580506564364,-0.06731346303890569,0.010149149254619698,-0.01323756621584038,-0.04952683380987608,0.02707298285997335,0,5,1000
fnirs_yiruid_rest_native,fnirs,yiruid,rest,random_forest,20260707,signal,qc,1514,0.062210077925901386,0.021582827551650703,0.10287864441413642,0.04583459675755652,0.010557732219802236,0.08189663064404637,5,5,1000
