cv_protocol,cohort_name,modality,device,task,feature_set,model,n_seeds,auroc_seed_mean,auroc_seed_std,auroc_seed_min,auroc_seed_max
standard_cv,eeg_oddball_goal3,eeg,,oddball,eeg_deep,conformer__condition_aware__mean_std__none,3,0.5133188818136657,0.01896181769769628,0.49469177618208915,0.5325985638802331
standard_cv,eeg_oddball_goal3,eeg,,oddball,eeg_deep,conformer__difference_wave__mean_std__none,3,0.4983703653524816,0.003987183478768905,0.49589283294946485,0.502969787291695
standard_cv,eeg_oddball_goal3,eeg,,oddball,eeg_deep,conformer__standard_only__mean_std__none,3,0.5247157115115386,0.007428157287746705,0.5162484758162851,0.5301354829968838
standard_cv,eeg_oddball_goal3,eeg,,oddball,eeg_deep,conformer__target_only__mean_std__none,3,0.519434132683015,0.011078180490302356,0.5116691505216096,0.532120308901233
standard_cv,eeg_oddball_goal3,eeg,,oddball,eeg_deep,eegnet__condition_aware__attention__none,3,0.5392729079167232,0.006636889616276416,0.5322151469990517,0.5453881587860724
standard_cv,eeg_oddball_goal3,eeg,,oddball,eeg_deep,eegnet__condition_aware__mean_std__none,3,0.5270202772885336,0.00851152045529589,0.5173648557106083,0.5334372036309443
standard_cv,eeg_oddball_goal3,eeg,,oddball,eeg_deep,eegnet__condition_aware__mean_std__robust_z,3,0.532354694485842,0.0013949163820489276,0.5309172198889038,0.5337027503048367
standard_cv,eeg_oddball_goal3,eeg,,oddball,eeg_deep,eegnet__difference_wave__mean_std__none,3,0.5187847175179515,0.009331791777404024,0.5090258772524048,0.5276209185747189
standard_cv,eeg_oddball_goal3,eeg,,oddball,eeg_deep,eegnet__standard_only__mean_std__none,3,0.5283168495687125,0.007467668959051347,0.5197005825768866,0.5329183037528791
standard_cv,eeg_oddball_goal3,eeg,,oddball,eeg_deep,eegnet__target_only__mean_std__none,3,0.5301494829065619,0.008060859674365723,0.5223601138057175,0.5384568486654925
standard_cv,eeg_oddball_goal3,eeg,,oddball,eeg_deep,inceptiontime__condition_aware__mean_std__none,3,0.5247938400397416,0.0026045387245251374,0.5217924400487738,0.526459829291424
standard_cv,eeg_oddball_goal3,eeg,,oddball,eeg_deep,inceptiontime__difference_wave__mean_std__none,3,0.5088131689472971,0.009241737944860204,0.5011488958135755,0.5190760059612518
standard_cv,eeg_oddball_goal3,eeg,,oddball,eeg_deep,inceptiontime__standard_only__mean_std__none,3,0.5201016122476628,0.009232176751197614,0.5112532177211759,0.5296748408074786
standard_cv,eeg_oddball_goal3,eeg,,oddball,eeg_deep,inceptiontime__target_only__mean_std__none,3,0.5238129431423023,0.006209985546929509,0.5200203224495326,0.5309795420674706
standard_cv,eeg_oddball_goal3,eeg,,oddball,eeg_traditional,conformer__condition_aware__mean_std__none,3,0.5166147315178612,0.013818969763756668,0.5031486248475816,0.5307614144424875
standard_cv,eeg_oddball_goal3,eeg,,oddball,eeg_traditional,conformer__difference_wave__mean_std__none,3,0.5166147315178612,0.013818969763756668,0.5031486248475816,0.5307614144424875
standard_cv,eeg_oddball_goal3,eeg,,oddball,eeg_traditional,conformer__standard_only__mean_std__none,3,0.5166147315178612,0.013818969763756668,0.5031486248475816,0.5307614144424875
standard_cv,eeg_oddball_goal3,eeg,,oddball,eeg_traditional,conformer__target_only__mean_std__none,3,0.5166147315178612,0.013818969763756668,0.5031486248475816,0.5307614144424875
standard_cv,eeg_oddball_goal3,eeg,,oddball,eeg_traditional,eegnet__condition_aware__attention__none,3,0.5166147315178612,0.013818969763756668,0.5031486248475816,0.5307614144424875
standard_cv,eeg_oddball_goal3,eeg,,oddball,eeg_traditional,eegnet__condition_aware__mean_std__none,3,0.5166147315178612,0.013818969763756668,0.5031486248475816,0.5307614144424875
standard_cv,eeg_oddball_goal3,eeg,,oddball,eeg_traditional,eegnet__condition_aware__mean_std__robust_z,3,0.5166147315178612,0.013818969763756668,0.5031486248475816,0.5307614144424875
standard_cv,eeg_oddball_goal3,eeg,,oddball,eeg_traditional,eegnet__difference_wave__mean_std__none,3,0.5166147315178612,0.013818969763756668,0.5031486248475816,0.5307614144424875
standard_cv,eeg_oddball_goal3,eeg,,oddball,eeg_traditional,eegnet__standard_only__mean_std__none,3,0.5166147315178612,0.013818969763756668,0.5031486248475816,0.5307614144424875
standard_cv,eeg_oddball_goal3,eeg,,oddball,eeg_traditional,eegnet__target_only__mean_std__none,3,0.5166147315178612,0.013818969763756668,0.5031486248475816,0.5307614144424875
standard_cv,eeg_oddball_goal3,eeg,,oddball,eeg_traditional,inceptiontime__condition_aware__mean_std__none,3,0.5166147315178612,0.013818969763756668,0.5031486248475816,0.5307614144424875
standard_cv,eeg_oddball_goal3,eeg,,oddball,eeg_traditional,inceptiontime__difference_wave__mean_std__none,3,0.5166147315178612,0.013818969763756668,0.5031486248475816,0.5307614144424875
standard_cv,eeg_oddball_goal3,eeg,,oddball,eeg_traditional,inceptiontime__standard_only__mean_std__none,3,0.5166147315178612,0.013818969763756668,0.5031486248475816,0.5307614144424875
standard_cv,eeg_oddball_goal3,eeg,,oddball,eeg_traditional,inceptiontime__target_only__mean_std__none,3,0.5166147315178612,0.013818969763756668,0.5031486248475816,0.5307614144424875
